ImageId,PredictedClass
0,3
1,3
2,6
3,3
4,3
5,3
6,4
7,1
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,4
20,1
21,3
22,3
23,3
24,3
25,1
26,1
27,3
28,3
29,3
30,2
31,3
32,3
33,3
34,3
35,3
36,3
37,1
38,3
39,1
40,3
41,1
42,3
43,1
44,1
45,1
46,4
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,6
55,2
56,3
57,3
58,5
59,3
60,1
61,1
62,0
63,4
64,3
65,1
66,6
67,4
68,1
69,3
70,1
71,6
72,3
73,3
74,3
75,2
76,1
77,6
78,4
79,4
80,3
81,0
82,4
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,6
92,3
93,1
94,1
95,3
96,1
97,1
98,6
99,6
100,3
101,1
102,3
103,1
104,3
105,1
106,3
107,3
108,3
109,1
110,4
111,1
112,3
113,3
114,3
115,1
116,3
117,4
118,1
119,3
120,1
121,3
122,3
123,0
124,3
125,4
126,4
127,3
128,1
129,3
130,6
131,6
132,6
133,3
134,2
135,4
136,3
137,3
138,1
139,6
140,2
141,2
142,5
143,1
144,3
145,3
146,1
147,3
148,3
149,1
150,1
151,1
152,1
153,3
154,3
155,3
156,6
157,1
158,1
159,3
160,6
161,5
162,5
163,1
164,3
165,1
166,5
167,1
168,3
169,3
170,1
171,1
172,6
173,1
174,5
175,6
176,3
177,2
178,2
179,3
180,3
181,3
182,3
183,1
184,3
185,3
186,3
187,3
188,3
189,2
190,3
191,2
192,3
193,2
194,6
195,3
196,3
197,6
198,3
199,6
200,3
201,2
202,1
203,2
204,3
205,1
206,6
207,2
208,3
209,1
210,3
211,4
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,1
220,3
221,3
222,3
223,1
224,6
225,3
226,3
227,3
228,1
229,3
230,3
231,3
232,1
233,0
234,3
235,1
236,6
237,3
238,3
239,3
240,3
241,4
242,2
243,3
244,3
245,0
246,3
247,3
248,3
249,3
250,4
251,3
252,3
253,1
254,3
255,4
256,3
257,1
258,6
259,3
260,3
261,3
262,2
263,1
264,3
265,3
266,3
267,1
268,3
269,6
270,1
271,1
272,3
273,3
274,6
275,3
276,6
277,3
278,3
279,3
280,1
281,3
282,3
283,3
284,1
285,0
286,3
287,3
288,3
289,4
290,4
291,3
292,5
293,3
294,3
295,1
296,4
297,3
298,3
299,4
300,3
301,0
302,6
303,2
304,1
305,3
306,3
307,3
308,1
309,3
310,3
311,3
312,1
313,6
314,3
315,3
316,3
317,1
318,3
319,3
320,3
321,2
